Site_ID,Class_Name,End_Date,Start_Time,Capacity,Booked,Price_INR,End_DateTime,Weekday,Hour,Capacity_Utilization,Revenue,MaxBookes,Dataset
HXP,20-20-20  2.45pm-3.45pm,8-Apr-18,14:45:00,25,12,499.0,2018-04-08,Sunday,14,48.0,5988.0,25,Train
HXP,20-20-20  2.45pm-3.45pm,15-Apr-18,14:45:00,25,15,499.0,2018-04-15,Sunday,14,60.0,7485.0,25,Train
HXP,20-20-20  2.45pm-3.45pm,22-Apr-18,14:45:00,25,14,499.0,2018-04-22,Sunday,14,56.0,6986.0,25,Train
HXP,20-20-20  2.45pm-3.45pm,29-Apr-18,14:45:00,25,9,499.0,2018-04-29,Sunday,14,36.0,4491.0,25,Train
HXP,20-20-20  2.45pm-3.45pm,6-May-18,14:45:00,25,7,499.0,2018-05-06,Sunday,14,28.0,3493.0,25,Train
HXP,20-20-20  2.45pm-3.45pm,13-May-18,14:45:00,25,10,499.0,2018-05-13,Sunday,14,40.0,4990.0,25,Train
HXP,20-20-20  2.45pm-3.45pm,20-May-18,14:45:00,25,7,499.0,2018-05-20,Sunday,14,28.0,3493.0,25,Train
HXP,20-20-20  2.45pm-3.45pm,27-May-18,14:45:00,25,3,499.0,2018-05-27,Sunday,14,12.0,1497.0,25,Train
TSC,20-20-20 7.00-8.00pm,4-Apr-18,19:00:00,24,10,499.0,2018-04-04,Wednesday,19,41.67,4990.0,24,Train
TSC,20-20-20 7.00-8.00pm,11-Apr-18,19:00:00,24,12,499.0,2018-04-11,Wednesday,19,50.0,5988.0,24,Train
TSC,20-20-20 7.00-8.00pm,18-Apr-18,19:00:00,24,9,499.0,2018-04-18,Wednesday,19,37.5,4491.0,24,Train
TSC,20-20-20 7.00-8.00pm,25-Apr-18,19:00:00,24,5,499.0,2018-04-25,Wednesday,19,20.83,2495.0,24,Train
TSC,20-20-20 7.00-8.00pm,2-May-18,19:00:00,24,6,499.0,2018-05-02,Wednesday,19,25.0,2994.0,24,Train
TSC,20-20-20 7.00-8.00pm,9-May-18,19:00:00,24,5,499.0,2018-05-09,Wednesday,19,20.83,2495.0,24,Train
TSC,20-20-20 7.00-8.00pm,16-May-18,19:00:00,24,6,499.0,2018-05-16,Wednesday,19,25.0,2994.0,24,Train
TSC,20-20-20 7.00-8.00pm,23-May-18,19:00:00,24,6,499.0,2018-05-23,Wednesday,19,25.0,2994.0,24,Train
TSC,20-20-20 7.00-8.00pm,30-May-18,19:00:00,24,7,499.0,2018-05-30,Wednesday,19,29.17,3493.0,24,Train
NBL,20-20-20 9.30-10.30am,3-Apr-18,9:30:00,60,42,499.0,2018-04-03,Tuesday,9,70.0,20958.0,60,Train
NBL,20-20-20 9.30-10.30am,10-Apr-18,9:30:00,60,34,499.0,2018-04-10,Tuesday,9,56.67,16966.0,60,Train
NBL,20-20-20 9.30-10.30am,17-Apr-18,9:30:00,60,37,499.0,2018-04-17,Tuesday,9,61.67,18463.0,60,Train
NBL,20-20-20 9.30-10.30am,24-Apr-18,9:30:00,60,33,499.0,2018-04-24,Tuesday,9,55.0,16467.0,60,Train
NBL,20-20-20 9.30-10.30am,1-May-18,9:30:00,60,34,499.0,2018-05-01,Tuesday,9,56.67,16966.0,60,Train
NBL,20-20-20 9.30-10.30am,8-May-18,9:30:00,60,28,499.0,2018-05-08,Tuesday,9,46.67,13972.0,60,Train
NBL,20-20-20 9.30-10.30am,15-May-18,9:30:00,60,31,499.0,2018-05-15,Tuesday,9,51.67,15469.0,60,Train
NBL,20-20-20 9.30-10.30am,22-May-18,9:30:00,60,31,499.0,2018-05-22,Tuesday,9,51.67,15469.0,60,Train
NBL,20-20-20 9.30-10.30am,29-May-18,9:30:00,60,30,499.0,2018-05-29,Tuesday,9,50.0,14970.0,60,Train
SBP,20-20-20 9.30-10.30am,4-Apr-18,9:30:00,35,18,499.0,2018-04-04,Wednesday,9,51.43,8982.0,35,Train
SBP,20-20-20 9.30-10.30am,11-Apr-18,9:30:00,35,12,499.0,2018-04-11,Wednesday,9,34.29,5988.0,35,Train
SBP,20-20-20 9.30-10.30am,18-Apr-18,9:30:00,35,14,499.0,2018-04-18,Wednesday,9,40.0,6986.0,35,Train
SBP,20-20-20 9.30-10.30am,25-Apr-18,9:30:00,35,14,499.0,2018-04-25,Wednesday,9,40.0,6986.0,35,Train
SBP,20-20-20 9.30-10.30am,2-May-18,9:30:00,35,12,499.0,2018-05-02,Wednesday,9,34.29,5988.0,35,Train
